fecha,indicador,bloque,unidad,valor
2018-07-10,Dólar CCL,monetario_financiero,$/USD (venta),28.05
2018-07-11,Dólar CCL,monetario_financiero,$/USD (venta),27.29
2018-07-12,Dólar CCL,monetario_financiero,$/USD (venta),27.43
2018-07-13,Dólar CCL,monetario_financiero,$/USD (venta),27.28
2018-07-14,Dólar CCL,monetario_financiero,$/USD (venta),27.28
2018-07-15,Dólar CCL,monetario_financiero,$/USD (venta),27.28
2018-07-16,Dólar CCL,monetario_financiero,$/USD (venta),27.28
2018-07-17,Dólar CCL,monetario_financiero,$/USD (venta),27.31
2018-07-18,Dólar CCL,monetario_financiero,$/USD (venta),27.62
2018-07-19,Dólar CCL,monetario_financiero,$/USD (venta),27.72
2018-07-20,Dólar CCL,monetario_financiero,$/USD (venta),27.74
2018-07-21,Dólar CCL,monetario_financiero,$/USD (venta),27.74
2018-07-22,Dólar CCL,monetario_financiero,$/USD (venta),27.74
2018-07-23,Dólar CCL,monetario_financiero,$/USD (venta),27.69
2018-07-24,Dólar CCL,monetario_financiero,$/USD (venta),27.73
2018-07-25,Dólar CCL,monetario_financiero,$/USD (venta),27.48
2018-07-26,Dólar CCL,monetario_financiero,$/USD (venta),27.4
2018-07-27,Dólar CCL,monetario_financiero,$/USD (venta),27.47
2018-07-28,Dólar CCL,monetario_financiero,$/USD (venta),27.47
2018-07-29,Dólar CCL,monetario_financiero,$/USD (venta),27.47
2018-07-30,Dólar CCL,monetario_financiero,$/USD (venta),27.37
2018-07-31,Dólar CCL,monetario_financiero,$/USD (venta),27.33
2018-08-01,Dólar CCL,monetario_financiero,$/USD (venta),27.45
2018-08-02,Dólar CCL,monetario_financiero,$/USD (venta),27.64
2018-08-03,Dólar CCL,monetario_financiero,$/USD (venta),27.43
2018-08-04,Dólar CCL,monetario_financiero,$/USD (venta),27.43
2018-08-05,Dólar CCL,monetario_financiero,$/USD (venta),27.43
2018-08-06,Dólar CCL,monetario_financiero,$/USD (venta),27.3
2018-08-07,Dólar CCL,monetario_financiero,$/USD (venta),27.31
2018-08-08,Dólar CCL,monetario_financiero,$/USD (venta),27.28
2018-08-09,Dólar CCL,monetario_financiero,$/USD (venta),27.65
2018-08-10,Dólar CCL,monetario_financiero,$/USD (venta),28.1
2018-08-11,Dólar CCL,monetario_financiero,$/USD (venta),28.1
2018-08-12,Dólar CCL,monetario_financiero,$/USD (venta),28.1
2018-08-13,Dólar CCL,monetario_financiero,$/USD (venta),29.55
2018-08-14,Dólar CCL,monetario_financiero,$/USD (venta),30.21
2018-08-15,Dólar CCL,monetario_financiero,$/USD (venta),29.9
2018-08-16,Dólar CCL,monetario_financiero,$/USD (venta),30.33
2018-08-17,Dólar CCL,monetario_financiero,$/USD (venta),30.03
2018-08-18,Dólar CCL,monetario_financiero,$/USD (venta),30.03
2018-08-19,Dólar CCL,monetario_financiero,$/USD (venta),30.03
2018-08-20,Dólar CCL,monetario_financiero,$/USD (venta),30.03
2018-08-21,Dólar CCL,monetario_financiero,$/USD (venta),30.05
2018-08-22,Dólar CCL,monetario_financiero,$/USD (venta),30.06
2018-08-23,Dólar CCL,monetario_financiero,$/USD (venta),30.32
2018-08-24,Dólar CCL,monetario_financiero,$/USD (venta),30.56
2018-08-25,Dólar CCL,monetario_financiero,$/USD (venta),30.56
2018-08-26,Dólar CCL,monetario_financiero,$/USD (venta),30.56
2018-08-27,Dólar CCL,monetario_financiero,$/USD (venta),30.94
2018-08-28,Dólar CCL,monetario_financiero,$/USD (venta),31.17
2018-08-29,Dólar CCL,monetario_financiero,$/USD (venta),31.81
2018-08-30,Dólar CCL,monetario_financiero,$/USD (venta),33.76
2018-08-31,Dólar CCL,monetario_financiero,$/USD (venta),39.5
2018-09-01,Dólar CCL,monetario_financiero,$/USD (venta),39.5
2018-09-02,Dólar CCL,monetario_financiero,$/USD (venta),39.5
2018-09-03,Dólar CCL,monetario_financiero,$/USD (venta),39.5
2018-09-04,Dólar CCL,monetario_financiero,$/USD (venta),37.87
2018-09-05,Dólar CCL,monetario_financiero,$/USD (venta),39.19
2018-09-06,Dólar CCL,monetario_financiero,$/USD (venta),37.72
2018-09-07,Dólar CCL,monetario_financiero,$/USD (venta),37.72
2018-09-08,Dólar CCL,monetario_financiero,$/USD (venta),37.72
2018-09-09,Dólar CCL,monetario_financiero,$/USD (venta),37.72
2018-09-10,Dólar CCL,monetario_financiero,$/USD (venta),37.19
2018-09-11,Dólar CCL,monetario_financiero,$/USD (venta),37.6
2018-09-12,Dólar CCL,monetario_financiero,$/USD (venta),38.19
2018-09-13,Dólar CCL,monetario_financiero,$/USD (venta),38.64
2018-09-14,Dólar CCL,monetario_financiero,$/USD (venta),39.91
2018-09-15,Dólar CCL,monetario_financiero,$/USD (venta),39.91
2018-09-16,Dólar CCL,monetario_financiero,$/USD (venta),39.91
2018-09-17,Dólar CCL,monetario_financiero,$/USD (venta),40.07
2018-09-18,Dólar CCL,monetario_financiero,$/USD (venta),39.8
