fecha,serie,valor
2014-11-01,Personales,3.5615113737231976
2014-12-01,Personales,3.4804634462955253
2015-01-01,Personales,3.4643974037123715
2015-02-01,Personales,3.335721403499766
2015-03-01,Personales,3.2878138927091114
2015-04-01,Personales,3.287287400666414
2015-05-01,Personales,3.3114139469500183
2015-06-01,Personales,3.1381182743819536
2015-07-01,Personales,3.036676040047644
2015-08-01,Personales,2.949438953105695
2015-09-01,Personales,2.835087911448427
2015-10-01,Personales,2.7368499622012017
2015-11-01,Personales,2.7207101316594913
2015-12-01,Personales,2.6996683397976504
2016-01-01,Personales,2.756355009713378
2016-02-01,Personales,2.8314325790478048
2016-03-01,Personales,2.695635417874813
2016-04-01,Personales,2.7626261903249256
2016-05-01,Personales,2.90361785020913
2016-06-01,Personales,2.966700199824726
2016-07-01,Personales,3.0256276180233894
2016-08-01,Personales,3.0487580603443702
2016-09-01,Personales,2.9985278184812247
2016-10-01,Personales,3.0459052219991536
2016-11-01,Personales,2.9788080813283537
2016-12-01,Personales,2.9666859449966765
2017-01-01,Personales,3.076565065363174
2017-02-01,Personales,3.0906022724176374
2017-03-01,Personales,3.0963098724488805
2017-04-01,Personales,3.158644857854911
2017-05-01,Personales,3.2789722074976853
2017-06-01,Personales,3.3759583380465537
2017-07-01,Personales,3.2005106522913613
2017-08-01,Personales,3.181327701812495
2017-09-01,Personales,3.028257973618202
2017-10-01,Personales,3.096150297291479
2017-11-01,Personales,3.1867599012690913
2017-12-01,Personales,3.183251324500673
2018-01-01,Personales,3.4028014490421072
2018-02-01,Personales,3.4419215208306646
2018-03-01,Personales,3.5023251421298744
2018-04-01,Personales,3.6693109013514476
2018-05-01,Personales,4.037280669179856
2018-06-01,Personales,4.017185597552605
2018-07-01,Personales,4.188945094059199
2018-08-01,Personales,4.315712506812965
2018-09-01,Personales,4.460330748234431
2018-10-01,Personales,4.665309795478337
2018-11-01,Personales,4.875999074025214
2018-12-01,Personales,5.09908572597651
2019-01-01,Personales,5.344152557659604
2019-02-01,Personales,5.497111950452574
2019-03-01,Personales,5.687847662829839
2019-04-01,Personales,5.874601337473216
2019-05-01,Personales,6.17029255042554
2019-06-01,Personales,6.2843597729322065
2019-07-01,Personales,6.270471063726244
2019-08-01,Personales,6.361551896153879
2019-09-01,Personales,6.201542665232876
2019-10-01,Personales,6.169170322321409
2019-11-01,Personales,6.285106189340894
2019-12-01,Personales,6.098139415498494
2020-01-01,Personales,6.138137532899209
2020-02-01,Personales,6.160936660186489
2020-03-01,Personales,4.156598561327229
2020-04-01,Personales,4.242819369395185
2020-05-01,Personales,4.4046341122916655
2020-06-01,Personales,4.4834573521733265
2020-07-01,Personales,4.773517259554812
2020-08-01,Personales,4.714516702688395
2020-09-01,Personales,4.175253919985828
2020-10-01,Personales,3.6724213746096566
2020-11-01,Personales,3.3685369266259464
2020-12-01,Personales,2.913792036503533
2021-01-01,Personales,2.589239185454701
2021-02-01,Personales,2.3529987228661424
2021-03-01,Personales,2.4815310980411507
2021-04-01,Personales,3.188032330768064
2021-05-01,Personales,3.500675501078687
2021-06-01,Personales,5.053864351443535
2021-07-01,Personales,7.096287953580806
2021-08-01,Personales,7.163735843015146
2021-09-01,Personales,7.062186253112563
2021-10-01,Personales,6.93333706322192
2021-11-01,Personales,6.486461641582146
2021-12-01,Personales,6.295440180530982
2022-01-01,Personales,6.11304523311635
2022-02-01,Personales,5.888562913485328
2022-03-01,Personales,5.251039276650986
2022-04-01,Personales,4.992102195323934
2022-05-01,Personales,4.698175414273323
2022-06-01,Personales,4.632697263124209
2022-07-01,Personales,4.572593553561729
2022-08-01,Personales,4.431122841512344
2022-09-01,Personales,4.26511985022567
2022-10-01,Personales,4.280696334400976
2022-11-01,Personales,4.216942923659388
2022-12-01,Personales,4.396231736000614
2023-01-01,Personales,4.439581501890932
2023-02-01,Personales,4.480491502567336
2023-03-01,Personales,4.501589773089553
2023-04-01,Personales,4.45482501456492
2023-05-01,Personales,4.562183842651321
2023-06-01,Personales,4.694450009298999
2023-07-01,Personales,4.721858884524625
2023-08-01,Personales,4.659856880934116
2023-09-01,Personales,4.4381397952098185
2023-10-01,Personales,4.322313248240627
2023-11-01,Personales,4.154845911394556
2023-12-01,Personales,4.2991946692212055
2024-01-01,Personales,4.350323967745582
2024-02-01,Personales,4.2361728792090245
2024-03-01,Personales,4.340631959952264
2024-04-01,Personales,4.342060417267243
2024-05-01,Personales,4.29538159655122
2024-06-01,Personales,4.159417762416833
2024-07-01,Personales,3.8708271027332875
2024-08-01,Personales,3.6183514510090116
2024-09-01,Personales,3.491704364679475
2024-10-01,Personales,3.379236016884055
2024-11-01,Personales,3.410291420187512
2024-12-01,Personales,3.323075913993575
2025-01-01,Personales,3.462518508638632
2025-02-01,Personales,3.7186133443425287
2025-03-01,Personales,4.081088948277837
2025-04-01,Personales,4.600416323998659
2025-05-01,Personales,5.57220071902463
2025-06-01,Personales,6.4693921624209585
2025-07-01,Personales,7.23255261309306
2025-08-01,Personales,8.209762854418328
2025-09-01,Personales,9.122520948325885
2025-10-01,Personales,9.924790500046903
2025-11-01,Personales,11.038757718365035
2025-12-01,Personales,11.949028107939592
2026-01-01,Personales,13.220680956468925
2026-02-01,Personales,13.7620776678543
2026-03-01,Personales,14.392178512034844
2026-04-01,Personales,14.85707382373031
2026-05-01,Personales,15.945904770798878
2010-01-01,Tarjetas de crédito,3.42917276690726
2010-02-01,Tarjetas de crédito,3.41072765605221
2010-03-01,Tarjetas de crédito,3.1337739880007853
2010-04-01,Tarjetas de crédito,3.061798758991248
